Name,Event,Date,Second Party,Note,Source
John Taylor,Marriage,1852-12-09,Caroline Saunders,Fourteenth wife,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1856-09-27,Margaret Young,Fifteenth wife,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
John Taylor,Marriage,1886-12-19,Josephine Roueche,Sixteenth and final wife; married when Taylor was 78; he died 7 months later,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
Leonora Cannon,Birth,1796-10-06,,Born in Thurso Scotland,https://history.churchofjesuschrist.org/chd/individual/leonora-cannon-1796?lang=eng
Leonora Cannon,Death,1868-12-09,,Died in Salt Lake City Utah; 4 children with John Taylor,https://history.churchofjesuschrist.org/chd/individual/leonora-cannon-1796?lang=eng
Elizabeth Kaighin,Birth,1811-09-11,,Born in Isle of Man; CHD spells surname Keighan,https://en.wikipedia.org/wiki/John_Taylor_(Mormon)
Elizabeth Kaighin,Death,1895-09-30,,,https://en.wikipedia.org/wiki/John_Taylor_(Mormon)
Jane Ballantyne,Birth,1813-04-11,,,https://en.wikipedia.org/wiki/John_Taylor_(Mormon)
Jane Ballantyne,Death,1901-12-26,,,https://en.wikipedia.org/wiki/John_Taylor_(Mormon)
Mary Ann Oakley,Birth,1826-03-20,,Born in Kirtland Ohio,https://history.churchofjesuschrist.org/chd/individual/mary-ann-oakley-1826?lang=eng
Mary Ann Oakley,Death,1911-08-30,,At least 5 children with John Taylor,https://history.churchofjesuschrist.org/chd/individual/mary-ann-oakley-1826?lang=eng
Mary Amanda Utley,Birth,1821-11-07,,,https://history.churchofjesuschrist.org/chd/individual/mary-amanda-utley-1821?lang=eng
Mercy Rachel Fielding,Birth,1820-01-01,,Born ca. 1820; sister of Mary Fielding Smith,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
Mary Ramsbottom,Birth,1823-01-01,,Born ca. 1823,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
Ann Hughlings,Birth,1820-01-01,,Born ca. 1820,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
Lydia Dibble,Birth,1826-01-01,,Born ca. 1826,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
Sarah Thornton,Birth,1826-01-01,,Born ca. 1826,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
Sarah Thornton,Divorce,1852-09-09,John Taylor,,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
Sophia Whitaker,Birth,1825-04-21,,,https://history.churchofjesuschrist.org/chd/individual/sophia-whitaker-1825?lang=eng
Sophia Whitaker,Death,1887-02-28,,Five months before John Taylor's own death,https://history.churchofjesuschrist.org/chd/individual/sophia-whitaker-1825?lang=eng
Annie Ballantyne,Birth,1830-01-01,,Born ca. 1830; possibly related to co-wife Jane Ballantyne,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
Annie Ballantyne,Divorce,1852-11-09,John Taylor,,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
Harriett Whitaker,Birth,1825-04-21,,,https://en.wikipedia.org/wiki/John_Taylor_(Mormon)
Harriett Whitaker,Death,1882-07-16,,,https://en.wikipedia.org/wiki/John_Taylor_(Mormon)
Caroline Saunders,Birth,1825-01-01,,Born ca. 1825,https://history.churchofjesuschrist.org/chd/individual/john-taylor-1808?lang=eng
Margaret Young,Birth,1837-04-24,,,https://en.wikipedia.org/wiki/John_Taylor_(Mormon)
Margaret Young,Death,1919-05-03,,,https://en.wikipedia.org/wiki/John_Taylor_(Mormon)
Josephine Roueche,Birth,1860-03-03,,,https://en.wikipedia.org/wiki/John_Taylor_(Mormon)
Josephine Roueche,Death,1943-11-27,,,https://en.wikipedia.org/wiki/John_Taylor_(Mormon)
